report_id,date_time,police_beat,street_name,street_type,injured,killed,hit_run_lvl,full_name
170303,2017-01-08 00:30:00,446,47TH,ST,2,0,nan,47TH ST
170210,2017-01-08 00:35:00,827,WIGHTMAN,ST,0,0,MISDEMEANOR,WIGHTMAN ST
170516,2017-01-08 00:57:00,621,GENESEE,AVE,0,0,MISDEMEANOR,GENESEE AVE
170212,2017-01-08 02:00:00,826,ORANGE,AVE,0,0,MISDEMEANOR,ORANGE AVE
170245,2017-01-08 02:10:00,517,25TH,ST,1,0,nan,25TH ST
170336,2017-01-08 02:55:00,821,70TH,ST,0,0,nan,70TH ST
170208,2017-01-08 03:00:00,712,DEAVER,LN,0,0,MISDEMEANOR,DEAVER LN
170214,2017-01-08 03:13:00,832,EL CAJON,BLVD,0,0,MISDEMEANOR,EL CAJON BLVD
170469,2017-01-08 05:40:00,438,PARKSIDE,AVE,1,0,MISDEMEANOR,PARKSIDE AVE
170236,2017-01-08 10:10:00,124,LA JOLLA,BLVD,1,0,MISDEMEANOR,LA JOLLA BLVD
170306,2017-01-08 11:08:00,436,JAMACHA,RD,1,0,nan,JAMACHA RD
170290,2017-01-08 11:34:00,116,BALBOA,AVE,1,0,nan,BALBOA AVE
170263,2017-01-08 11:45:00,233,BLACK MTN,RD,1,0,nan,BLACK MTN RD
170238,2017-01-08 12:15:00,116,MORENA,BLVD,1,0,nan,MORENA BLVD
170248,2017-01-08 12:28:00,813,NILE,ST,1,0,nan,NILE ST
170288,2017-01-08 13:06:00,934,EL CAMINO REAL,,2,0,nan,EL CAMINO REAL 
170266,2017-01-08 13:25:00,813,NILE,ST,0,0,nan,NILE ST
170348,2017-01-08 13:42:00,611,SPORTS ARENA,BLVD,0,0,MISDEMEANOR,SPORTS ARENA BLVD
170283,2017-01-08 14:55:00,611,WOMBLE,RD,1,0,nan,WOMBLE RD
170282,2017-01-08 15:00:00,627,VERMONT,ST,0,0,MISDEMEANOR,VERMONT ST
170203,2017-01-08 15:00:00,517,25TH,ST,0,0,MISDEMEANOR,25TH ST
170244,2017-01-08 15:15:00,512,30TH,ST,1,0,nan,30TH ST
170604,2017-01-08 15:17:00,124,LA JOLLA VILLAGE,DR,5,0,nan,LA JOLLA VILLAGE DR
170269,2017-01-08 16:30:00,614,EBERS,ST,0,0,nan,EBERS ST
170349,2017-01-08 17:55:00,123,SEA WORLD,DR,0,0,MISDEMEANOR,SEA WORLD DR
170226,2017-01-08 18:04:00,613,GUIZOT,ST,0,0,MISDEMEANOR,GUIZOT ST
170312,2017-01-08 18:15:00,311,MURPHY CANYON,RD,0,0,MISDEMEANOR,MURPHY CANYON RD
170323,2017-01-08 18:25:00,813,BOUNDARY,ST,0,0,MISDEMEANOR,BOUNDARY ST
170297,2017-01-08 21:30:00,834,UNIVERSITY,AVE,1,0,MISDEMEANOR,UNIVERSITY AVE
170480,2017-01-08 23:20:00,524,BROADWAY,,2,0,nan,BROADWAY 
171280,2017-01-09 00:01:00,124,HOLIDAY,CT,0,0,MISDEMEANOR,HOLIDAY CT
171744,2017-01-09 02:10:00,813,EL CAJON,BLVD,1,0,MISDEMEANOR,EL CAJON BLVD
170304,2017-01-09 03:17:00,712,WILLOW,RD,0,0,MISDEMEANOR,WILLOW RD
